"Step","lowest_JSDiv_NovelD - curiosity_reward","lowest_JSDiv_NovelD - curiosity_reward__MIN","lowest_JSDiv_NovelD - curiosity_reward__MAX"
"580000","0.010453644208610058","0.010453644208610058","0.010453644208610058"
"590000","0.017965519800782204","0.017965519800782204","0.017965519800782204"
"600000","0.03224807605147362","0.03224807605147362","0.03224807605147362"
"610000","0.0058461022563278675","0.0058461022563278675","0.0058461022563278675"
"620000","0.019953574985265732","0.019953574985265732","0.019953574985265732"
"630000","0.0059808362275362015","0.0059808362275362015","0.0059808362275362015"
"640000","0.01472690049558878","0.01472690049558878","0.01472690049558878"
"650000","0.006365603767335415","0.006365603767335415","0.006365603767335415"
"660000","0.008122740313410759","0.008122740313410759","0.008122740313410759"
"670000","0.012361318804323673","0.012361318804323673","0.012361318804323673"
"680000","0.014577203430235386","0.014577203430235386","0.014577203430235386"
"690000","0.004304080735892057","0.004304080735892057","0.004304080735892057"
"700000","0.007687232922762632","0.007687232922762632","0.007687232922762632"
"710000","0.007436883170157671","0.007436883170157671","0.007436883170157671"
"720000","0.01910151168704033","0.01910151168704033","0.01910151168704033"
"730000","0.003961919341236353","0.003961919341236353","0.003961919341236353"
"740000","0.010755148716270924","0.010755148716270924","0.010755148716270924"
"750000","0.011943554505705833","0.011943554505705833","0.011943554505705833"
"760000","0.010741835460066795","0.010741835460066795","0.010741835460066795"
"770000","0.008100487291812897","0.008100487291812897","0.008100487291812897"
"780000","0.006862959358841181","0.006862959358841181","0.006862959358841181"
"790000","0.008109275251626968","0.008109275251626968","0.008109275251626968"
"800000","0.008270514197647572","0.008270514197647572","0.008270514197647572"
"810000","0.0028844003099948168","0.0028844003099948168","0.0028844003099948168"
"820000","0.003764782100915909","0.003764782100915909","0.003764782100915909"
"830000","0.0012595854932442307","0.0012595854932442307","0.0012595854932442307"
"840000","0.00852449145168066","0.00852449145168066","0.00852449145168066"
"850000","0.0007776839192956686","0.0007776839192956686","0.0007776839192956686"
"860000","0.004275452811270952","0.004275452811270952","0.004275452811270952"
"870000","0.010559828020632267","0.010559828020632267","0.010559828020632267"
"880000","0.0023683353792876005","0.0023683353792876005","0.0023683353792876005"
"890000","0.0014164522290229797","0.0014164522290229797","0.0014164522290229797"
"900000","0.0010869360994547606","0.0010869360994547606","0.0010869360994547606"
"910000","0.00343511370010674","0.00343511370010674","0.00343511370010674"
"920000","0.0010239825351163745","0.0010239825351163745","0.0010239825351163745"
"930000","0.0024016869720071554","0.0024016869720071554","0.0024016869720071554"
"940000","0.000767261313740164","0.000767261313740164","0.000767261313740164"
"950000","0.004419390112161636","0.004419390112161636","0.004419390112161636"
"960000","0.0015062290476635098","0.0015062290476635098","0.0015062290476635098"
"970000","0.001995166065171361","0.001995166065171361","0.001995166065171361"
