entropy,step,episode,average_js_divergence,median_js_divergence,min_js_divergence,max_js_divergence,std_js_divergence,average_kl_divergence,median_kl_divergence,min_kl_divergence,max_kl_divergence,std_kl_divergence
0,1700000,,0.037319371,0.008743456,0,0.23554213077295977,0.063170021,0.153963257,0.026845523752918904,0,1.286230881,0.3103739373205567
0,1800000,,0.038165504,0.017649227452434635,0,0.23554213077295977,0.057237108,0.13949827383092658,0.051293294362811374,0,0.794825849,0.2297776997771307
0,1900000,,0.033326602,0.017649227452434635,0,0.23554213077295977,0.055524580224315424,0.10232280551798427,0.051293294362811374,0,0.7662176073499188,0.1780839160587531
0,2000000,,0.041131201554826836,0.017649227452434635,0,0.23554213077295977,0.061489942,0.5965797950117464,0.051293294362811374,0,10.379396779369008,2.1946220154741485
0,final,,0.033326602,0.017649227452434635,0,0.23554213077295977,0.055524580224315424,0.10232280551798427,0.051293294362811374,0,0.7662176073499188,0.1780839160587531
0.001,100000,,0.035023009,0.017649227452434635,0,0.23554213077295977,0.055172992,0.11438048574586833,0.051293294362811374,0,0.7662176073499188,0.18026396905851744
0.001,200000,,0.0355847,0.008743456,0,0.23554213077295977,0.05720363,0.1434357049861635,0.051293294362811374,0,0.7662176073499188,0.21709443845076773
0.001,300000,,0.03364159,0.016114344060735534,0,0.23554213077295977,0.055370401100491316,0.14970522733665945,0.051293294362811374,0,0.97808734,0.2559482505841662
0.001,400000,,0.03021494,0.008743456,0,0.14000312028869358,0.045041679,0.10867282078410327,0.025317807960296784,0,0.6302876093230454,0.17955772806636366
0.001,500000,,0.035872635863335986,0.017649227452434635,0,0.23554213077295977,0.055971372,0.11874973368214879,0.051293294362811374,0,0.7662176073499188,0.18823985844936386
0.001,600000,,0.030066919531261303,0.016114344060735534,0,0.14767346386206792,0.042769551,0.1013544192939208,0.046802747,0,0.5236032473725151,0.14979952387925638
0.001,700000,,0.033326602,0.017649227452434635,0,0.23554213077295977,0.055524580224315424,0.10232280551798427,0.051293294362811374,0,0.7662176073499188,0.1780839160587531
0.001,800000,,0.037010815274449015,0.017649227452434635,0,0.23554213077295977,0.055495659,0.12958754154807745,0.051293294362811374,0,0.7662176073499188,0.19579421800379634
0.001,900000,,0.033326602,0.017649227452434635,0,0.23554213077295977,0.055524580224315424,0.10232280551798427,0.051293294362811374,0,0.7662176073499188,0.1780839160587531
0.001,1000000,,0.032503717,0.016114344060735534,0,0.23554213077295977,0.055877752,0.099953081,0.046802747,0,0.7662176073499188,0.17907552843253655
0.001,1100000,,0.03629729,0.017649227452434635,0,0.23554213077295977,0.055299241,0.30207459590648367,0.051293294362811374,0,4.154608977140299,0.8792892736616211
0.001,1200000,,0.036868947316382815,0.017649227452434635,0,0.23554213077295977,0.056792794,0.13251212575976357,0.051293294362811374,0,0.7662176073499188,0.21551896854120225
0.001,1300000,,0.033774364,0.017649227452434635,0,0.23554213077295977,0.055331043,0.10553536588369962,0.051293294362811374,0,0.7662176073499188,0.17706979807273174
0.001,1400000,,0.035672760732047094,0.017649227452434635,0,0.23554213077295977,0.055332704323291584,0.11887276744128658,0.051293294362811374,0,0.7662176073499188,0.18062909511607347
0.001,1500000,,0.032251817,0.008743456,0,0.16467395532052198,0.048907359,0.11671818470135943,0.025317807960296784,0,0.7006654100700418,0.19697425825500073
0.001,1600000,,0.035200055180970816,0.017649227452434635,0,0.23554213077295977,0.055740185981224745,0.25343290164707616,0.051293294362811374,0,3.0771074782550207,0.6567512427411099
0.001,1700000,,0.041357716,0.017649227452434635,0,0.23554213077295977,0.064185449,0.6519662836534172,0.051293294362811374,0,11.593492252708742,2.4530450616697257
0.001,1800000,,0.033326602,0.017649227452434635,0,0.23554213077295977,0.055524580224315424,0.10232280551798427,0.051293294362811374,0,0.7662176073499188,0.1780839160587531
