seed,frequency,decay,step,episode,object,state,js_divergence,kl_divergence,js_finite,kl_finite
,,,1000000,,gear,hitter,0.026723723668315127,0.07796154144451208,True,True
,,,1000000,,gear,inside,0.017649227452434635,0.051293294362811374,True,True
,,,1000000,,gear,mouthed,0.016114344060735534,0.04680274717496348,True,True
,,,1000000,,gear,thrown,0.035973756637604035,0.10536051563228144,True,True
,,,1000000,,piggie bank,gothit,0.017649227452434635,0.051293294362811374,True,True
,,,1000000,,piggie bank,hitter,0.0,0.0,True,True
,,,1000000,,piggie bank,inside,0.008743455782136821,0.025317807960296784,True,True
,,,1000000,,piggie bank,mouthed,0.004634563876776127,0.013397565747919228,True,True
,,,1000000,,piggie bank,thrown,0.0,0.0,True,True
,,,1000000,,pink beach ball,gothit,0.07488176160938073,0.22314355128771493,True,True
,,,1000000,,pink beach ball,hitter,0.0,0.0,True,True
,,,1000000,,pink beach ball,inside,0.0,0.0,True,True
,,,1000000,,pink beach ball,kicked,0.055029919352137885,0.16251892947170204,True,True
,,,1000000,,pink beach ball,mouthed,0.0,0.0,True,True
,,,1000000,,pink beach ball,thrown,0.14000312028869358,0.4307829160649039,True,True
,,,1000000,,shape sorter,gothit,0.017649227452434635,0.051293294362811374,True,True
,,,1000000,,shape sorter,hitter,0.029787215208656452,2.015749109959995,True,True
,,,1000000,,shape sorter,inside,0.0022544135935818133,0.009827226261750449,True,True
,,,1000000,,shape sorter,mouthed,0.0048912331045348045,0.014141014847699307,True,True
,,,1100000,,gear,attached,0.23554213077295977,0.7662176073499188,True,True
,,,1100000,,gear,gothit,0.026723723668315127,0.07796154144451208,True,True
,,,1100000,,gear,hitter,0.026723723668315127,0.07796154144451208,True,True
,,,1100000,,gear,inside,0.017649227452434635,0.051293294362811374,True,True
,,,1100000,,gear,mouthed,0.016114344060735534,0.04680274717496348,True,True
,,,1100000,,gear,thrown,0.035973756637604035,0.10536051563228144,True,True
,,,1100000,,piggie bank,gothit,0.017649227452434635,0.051293294362811374,True,True
,,,1100000,,piggie bank,hitter,0.0,0.0,True,True
,,,1100000,,piggie bank,inside,0.008743455782136821,0.025317807960296784,True,True
,,,1100000,,piggie bank,mouthed,0.004634563876776127,0.013397565747919228,True,True
,,,1100000,,piggie bank,thrown,0.0,0.0,True,True
,,,1100000,,pink beach ball,gothit,0.07488176160938073,0.22314355128771493,True,True
,,,1100000,,pink beach ball,hitter,0.0,0.0,True,True
,,,1100000,,pink beach ball,inside,0.0,0.0,True,True
,,,1100000,,pink beach ball,kicked,0.055029919352137885,0.16251892947170204,True,True
,,,1100000,,pink beach ball,mouthed,0.0,0.0,True,True
,,,1100000,,pink beach ball,thrown,0.14000312028869358,0.4307829160649039,True,True
,,,1100000,,shape sorter,gothit,0.017649227452434635,0.051293294362811374,True,True
,,,1100000,,shape sorter,hitter,0.025416783386759265,1.7163257249021917,True,True
,,,1100000,,shape sorter,inside,0.017649227452434635,0.051293294362811374,True,True
,,,1100000,,shape sorter,mouthed,0.0048912331045348045,0.014141014847699307,True,True
,,,1200000,,gear,attached,0.23554213077295977,0.7662176073499188,True,True
,,,1200000,,gear,gothit,0.001946482842033647,0.007249852482546788,True,True
,,,1200000,,gear,hitter,0.026723723668315127,0.07796154144451208,True,True
,,,1200000,,gear,inside,0.0032374607452793584,0.01433346787137526,True,True
